Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
49,669.75916,1078.2423,1021.725,-1017.17706,404.73596,-291.89334,-2363.9077,-1021.81805,405.3814,-314.57022,-2444.6667,27.05998,10.203544,51.93844,8.780201,-24.594753,158.13817,589.3449,-776.8579,-1.3400671,1.7622124,2.0,-5.077845
50,9124.438,8997.619,1079.1593,-1071.6777,481.14984,-278.36166,-3739.501,-1055.3936,477.81055,-274.3033,-3717.7844,25.438051,8.961939,43.301926,5.7309637,-9.171878,71.928795,373.10913,-717.1616,-1.3130401,1.5309814,2.0,-4.342571
51,1303.01,865.0094,1154.0414,-1150.551,588.2578,-192.32893,-3685.3794,-1146.249,584.4547,-171.67578,-3689.12,24.680977,8.361509,45.36621,7.014619,-7.8404465,61.67113,492.9706,-573.2123,-1.2074205,1.7013113,2.0,-4.9334
52,38676.438,51253.96,1120.1929,-1117.389,752.12067,-319.79892,-5228.013,-1117.6665,900.06525,-315.55325,-7004.8,27.64469,7.9127088,43.816917,12.321929,-8.006731,71.58096,645.6255,-632.5891,-1.1608124,1.6119864,2.0,-4.188456
53,710.12476,688.11554,951.20874,-947.3959,317.09348,-316.84302,-1848.5321,-951.99786,319.6442,-293.47284,-1817.4095,25.852943,9.013091,48.243774,11.817341,-25.80027,188.95059,806.3036,-925.18646,-1.4592593,1.7342786,2.0,-5.9686985
54,111107.805,113451.23,972.87354,-974.01953,312.3972,-435.84402,-1725.671,-1010.0593,414.46826,-409.40643,-3242.084,23.58931,8.285605,50.219612,11.120806,-15.305878,114.57054,661.74396,-841.5498,-1.4855353,1.6062466,2.0,-4.51442
55,593.82733,792.9342,1035.0027,-1034.1188,476.74936,-318.2181,-3056.4375,-1025.6199,479.0473,-307.7448,-3110.0173,26.732197,8.986836,49.425415,11.868795,-13.929815,122.066,765.0496,-886.3004,-1.1770043,1.8330009,2.0,-6.0544696
56,1482.6533,1607.3904,1020.0293,-1020.3861,469.0772,-287.84882,-3179.9077,-1003.5481,454.648,-287.8712,-3214.1953,27.297676,9.379299,47.962296,12.558531,-11.511177,69.147224,408.92307,-502.9678,-1.2973462,1.6259302,2.0,-4.881295
57,1208.8439,920.10864,1040.9824,-1033.1729,432.0792,-192.93797,-2520.9448,-1033.7191,431.27533,-169.78049,-2439.931,23.499775,8.311752,44.36592,10.857513,-4.902737,19.25891,33.97663,-134.806,-1.3028866,1.6364486,2.0,-4.316164
58,1336.826,1065.4502,1077.7249,-1074.167,461.71985,-332.03745,-2132.1196,-1055.6943,458.77975,-332.45566,-2221.2058,25.675735,10.934468,50.358074,9.797398,-16.309898,99.73315,351.57324,-813.456,-1.4982667,1.7378051,2.0,-4.860593
59,1039.1855,963.62134,1056.1125,-1055.346,544.7743,-341.8599,-3326.316,-1056.3817,559.5639,-333.27454,-3489.738,25.066551,8.870396,45.541565,10.61045,-6.6393175,42.86937,260.55188,-443.3975,-1.6481901,1.6682565,2.0,-6.2503166
60,794.1513,940.50916,1052.7328,-1050.407,380.80124,-381.1501,-2035.7828,-1045.8295,375.03638,-385.42065,-2002.7115,24.873053,9.304343,42.72071,10.635655,-26.158566,155.35472,550.0236,-850.59033,-1.4620878,1.8807117,2.0,-5.040848
61,1239.0553,930.4149,1226.6978,-1221.7004,546.017,-481.14413,-3854.2393,-1237.7805,549.91583,-516.195,-3854.0142,24.554485,7.684751,42.239525,9.039055,-11.528416,110.19637,704.0225,-1289.411,-1.874698,1.6611252,2.0,-5.543619
62,1274.8773,1525.9464,1204.1464,-1197.5768,470.73944,-434.9803,-2289.5366,-1214.3374,481.42776,-445.06348,-2332.3025,22.770952,8.838668,44.13321,5.989406,-8.56214,56.493538,69.3313,-807.04254,-1.8238454,1.622309,2.0,-4.769388
63,2770.769,3396.9878,1248.7279,-1246.6101,593.4392,-398.21036,-3696.3057,-1284.3044,599.974,-415.14172,-3794.896,24.346838,8.748682,52.994713,9.313484,-17.493553,86.96501,65.58779,-662.3948,-1.9896774,1.992926,2.0,-12.6755495
64,864.5979,2884.3447,1340.072,-1323.0876,755.59204,-380.64307,-3870.925,-1314.1777,750.9493,-359.59158,-3815.7446,23.198544,9.910039,48.822617,9.695966,-16.278494,100.22147,207.0999,-1004.5618,-1.9471567,2.0219316,2.0,-10.996233
65,1892.3079,1328.8147,1339.8884,-1345.5261,596.08704,-363.1026,-2634.0186,-1325.387,581.0689,-347.79932,-2592.4282,19.644596,6.748029,48.45288,6.5697346,-2.1187272,9.774637,17.6804,-74.08689,-2.246227,1.6177266,2.0,-6.545661
66,1875.8208,1282.2057,1328.6035,-1315.2556,522.5806,-322.99582,-2564.7046,-1334.4774,536.6364,-319.79028,-2596.0884,22.79599,9.821408,46.939316,4.743966,-3.0035224,18.30356,19.917591,-226.02115,-2.516727,1.7601265,2.0,-6.887522
67,2333.9634,2354.952,1325.0989,-1321.4532,652.942,-392.1188,-3762.647,-1336.1305,666.969,-343.08505,-3852.6416,25.200848,10.047934,50.692886,9.603295,-7.3492975,34.216507,73.3027,-231.27449,-2.1097846,1.9312246,2.0,-6.853077
68,3320.4216,4450.131,1293.4968,-1291.9816,606.599,-198.18336,-2516.399,-1263.8956,591.06586,-187.77315,-2485.0422,20.81056,9.359662,42.699207,7.2451296,-13.231842,84.452934,257.77997,-542.14276,-2.1765707,1.7913548,2.0,-6.726426
69,1791.5074,1954.2994,1489.962,-1482.2915,729.6495,-206.01195,-4208.874,-1496.9377,742.58905,-220.89789,-4192.788,22.57517,10.437781,47.82221,5.6112046,-5.985144,46.743233,153.7472,-623.92065,-2.0845942,1.8463973,2.0,-7.273153
70,1115.8567,1778.071,1450.7979,-1437.4553,610.589,-121.50369,-2662.1387,-1444.38,611.96857,-105.8207,-2630.41,23.648746,10.855364,53.27547,8.873044,-15.015651,91.32845,142.93788,-741.2746,-2.1876264,2.054988,2.0,-9.643057
71,1250.4944,3977.1375,1409.8445,-1397.8091,749.32477,-231.67836,-3610.7837,-1386.9856,740.5902,-248.40834,-3596.3826,26.094814,10.719259,56.070217,12.067723,-6.103556,26.478907,56.64867,-239.58942,-2.072574,2.1746786,2.0,-9.738512
72,1629.6444,1597.3516,1104.9609,-1101.6206,728.6346,-180.98305,-4577.3965,-1082.555,711.26575,-189.72945,-4457.217,32.725204,11.4078045,65.21351,9.063856,-32.43448,155.78658,164.6036,-1174.0372,-1.3034878,2.4318814,2.0,-14.592348
73,1340.2495,1429.669,1172.7965,-1169.9216,699.8403,-159.28839,-3738.3933,-1179.9314,716.62,-147.46474,-3847.4556,33.348,10.683936,57.209923,10.563093,-11.240843,97.23562,377.59125,-1315.561,-1.6745048,2.239097,2.0,-8.630854
74,1302.1405,917.3801,1122.2318,-1120.5464,696.7124,-119.81238,-4091.5764,-1102.2727,683.7509,-122.189095,-4017.1125,31.714355,10.545336,52.309727,12.069224,-14.07966,122.09959,287.6305,-1239.5845,-1.4638667,2.3399982,2.0,-10.864504
75,1115.528,1362.6431,1073.1029,-1066.647,627.0761,-235.49477,-3602.076,-1065.0723,632.4934,-227.9944,-3647.6316,32.769592,10.665285,53.037018,8.845621,-17.086262,98.94882,159.82156,-1290.1368,-0.75969195,2.3054383,2.0,-7.7218695
