Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
53,4.3383125e-06,4.714687e-06,-5.4312506,2.7021983,0.0,2.7021983,2.7020538,2.7034285,0.0016807072,2.7064488,2.6986792,-2.7291973,0.22349723,-2.272841,-3.3469517,-0.0050892574,0.008694264,0.0043882295,-0.015065614,-0.13176098,0.0035440812,-0.12599789,-0.1347656
54,6.5927084e-06,6.4898004e-06,-5.457256,2.703232,0.0,2.703232,2.7032685,2.704661,0.0021333722,2.7099712,2.699409,-2.7540238,0.2071747,-2.3032115,-3.1572661,0.0051865503,0.006394943,0.015939182,-0.0008499399,-0.13419452,0.010600071,-0.11725556,-0.1445029
55,3.2908563e-05,3.3403103e-05,-5.4428177,2.704082,2.3841858e-07,2.7040818,2.7039747,2.706338,0.0052742283,2.7457113,2.701669,-2.738843,0.21205683,-2.1812544,-3.549371,0.0008834533,0.0068507306,0.010474566,-0.006336899,-0.12719628,0.009041513,-0.11435824,-0.13872974
56,3.475345e-05,3.520617e-05,-5.487756,2.7012637,0.0,2.7012637,2.7012231,2.706828,0.0019466439,2.711103,2.7029383,-2.7865324,0.20805009,-2.4788704,-3.598239,0.0005871669,0.0020670346,0.003053766,-0.0022228083,-0.13552442,0.0044119605,-0.13043505,-0.14235048
57,6.1201026e-06,5.7444304e-06,-5.467795,2.7063143,2.3841858e-07,2.7063146,2.7064776,2.707548,0.002144514,2.7157013,2.7035472,-2.7614806,0.33279124,-2.312457,-4.6702604,-0.0026288102,0.010778129,0.014864069,-0.014601073,-0.1353273,0.007464489,-0.12935288,-0.14809269
58,7.989634e-06,7.6519955e-06,-5.4742475,2.7097895,2.3841858e-07,2.7097898,2.709682,2.7081695,0.002315999,2.717473,2.703852,-2.7645655,0.21986447,-2.248805,-3.8960977,0.0020589083,0.004185315,0.0062066326,-0.0046795104,-0.13284075,0.0017152661,-0.13093658,-0.13507803
59,1.6239243e-05,1.7352231e-05,-5.3884506,2.707159,0.0,2.707159,2.7069304,2.7094786,0.003295272,2.725953,2.705821,-2.6815205,0.16887462,-2.3389428,-3.0624194,-0.0026955437,0.007970393,0.006575923,-0.01535901,-0.13354921,0.0040812064,-0.1296504,-0.13973838
60,5.4094585e-06,5.4690727e-06,-5.43719,2.708019,2.3841858e-07,2.7080188,2.7079897,2.7090287,0.002094984,2.714912,2.7050967,-2.7292004,0.22287832,-2.2224367,-3.5187213,-0.0014583365,0.0019203927,0.001253309,-0.003513267,-0.13329607,0.002744615,-0.12909222,-0.13627851
61,1.7061204e-05,1.753789e-05,-5.4521627,2.7068975,0.0,2.7068975,2.70683,2.7103963,0.0021955078,2.7209358,2.7063668,-2.745333,0.3354926,-2.3219626,-5.02627,-0.0028289235,0.004554402,0.002548544,-0.009544527,-0.13795966,0.0022230418,-0.13580057,-0.14149848
62,1.3001981e-05,1.311135e-05,-5.4489594,2.708992,0.0,2.708992,2.7089648,2.7109904,0.003001397,2.7251384,2.7057948,-2.7399983,0.22708684,-2.3888423,-3.606771,0.0053310795,0.0032571324,0.008770073,8.6548156e-05,-0.14152074,0.005023757,-0.13777027,-0.15015407
