Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
53,4.1291246e-06,4.12316e-06,-5.4623966,2.7783835,2.3841858e-07,2.7783837,2.7783878,2.7791216,0.0018933326,2.7858276,2.7746181,-2.6840134,0.18880726,-2.3467078,-3.0899086,-0.0014399748,0.0026216956,0.0009630866,-0.005725067,-0.1323975,0.003555981,-0.12708381,-0.13606876
54,1.1655478e-05,1.1630782e-05,-5.550332,2.7777803,2.3841858e-07,2.77778,2.7777846,2.7805083,0.002052422,2.785793,2.7758217,-2.7725515,0.28880903,-2.4139085,-4.345438,-0.0018357724,0.003953543,0.002208892,-0.007969386,-0.13294259,0.010049359,-0.123222366,-0.14943877
55,4.7289095e-06,4.7296608e-06,-5.522888,2.780981,0.0,2.780981,2.7809794,2.7812052,0.0021630232,2.7912607,2.7753298,-2.7419086,0.26125836,-2.229545,-3.9878685,-0.0008233967,0.005736444,0.0058418727,-0.007720339,-0.1382999,0.006140338,-0.12965335,-0.14427963
56,1.2604788e-05,1.2672411e-05,-5.52065,2.785132,2.3841858e-07,2.7851322,2.7851431,2.7820547,0.001770308,2.7859519,2.7781193,-2.7355177,0.22702853,-2.2568877,-3.4616728,0.006394527,0.0039814725,0.011512071,0.0003803274,-0.13253948,0.0059851645,-0.12237492,-0.13774441
57,1.5129561e-05,1.495193e-05,-5.4516177,2.7864776,2.3841858e-07,2.7864773,2.7864487,2.7833588,0.0023246019,2.787861,2.7787967,-2.6651688,0.17184117,-2.1727824,-3.0473657,0.0007311823,0.004910396,0.0054872623,-0.0063064685,-0.12833992,0.0070721363,-0.11772974,-0.13636585
58,1.2097509e-05,1.2106824e-05,-5.574968,2.7846065,2.3841858e-07,2.7846062,2.7846162,2.784146,0.0034475878,2.8065493,2.7789323,-2.7903616,0.25216308,-2.3786802,-4.0794187,0.0022205836,0.008278048,0.016241439,-0.004937156,-0.13332397,0.0043669804,-0.12876575,-0.13922156
59,4.482379e-06,4.479256e-06,-5.536623,2.7851672,2.3841858e-07,2.785167,2.7851644,2.7845702,0.0020313403,2.7904212,2.7801733,-2.751459,0.22754784,-2.353583,-3.489617,-0.007801081,0.0069569033,-0.00019449534,-0.017452545,-0.13502893,0.0057339366,-0.12521268,-0.1396211
60,8.785793e-06,8.789245e-06,-5.51679,2.7873178,2.3841858e-07,2.787318,2.7873187,2.7849054,0.001722288,2.7883644,2.7809155,-2.7294722,0.22509173,-2.1850367,-3.7093046,0.0006690547,0.006684149,0.011181773,-0.005917516,-0.13154913,0.00518759,-0.12627141,-0.13875005
61,3.976861e-06,3.98049e-06,-5.51589,2.7867594,0.0,2.7867594,2.7867613,2.785809,0.0017531791,2.7893786,2.7819476,-2.7291307,0.17205152,-2.2153382,-3.2048407,0.0011849327,0.008962801,0.0121359825,-0.01069399,-0.13617986,0.002888684,-0.13205948,-0.13908951
62,9.567109e-06,9.585998e-06,-5.5279274,2.7885728,2.3841858e-07,2.788573,2.7885787,2.7869253,0.0026177072,2.796677,2.7824602,-2.7393544,0.254313,-2.3411603,-3.6624641,0.004701307,0.006993056,0.01603599,-0.0016918706,-0.1349629,0.009384678,-0.12157273,-0.14428657
63,9.10626e-06,9.102057e-06,-5.571028,2.788736,0.0,2.788736,2.788735,2.7869725,0.002448654,2.7971382,2.7822123,-2.7822933,0.21375991,-2.2801275,-3.3738267,-0.0016335115,0.0063503725,0.0045723286,-0.011847126,-0.12690684,0.004251608,-0.122286186,-0.13145086
64,8.845776e-06,8.88716e-06,-5.5044923,2.785433,0.0,2.785433,2.7854245,2.7878394,0.0017477428,2.7936616,2.7833092,-2.7190676,0.1821894,-2.3488002,-3.3228984,0.00062535703,0.008900849,0.013463986,-0.01090217,-0.13756275,0.0021429304,-0.13398191,-0.13960855
65,6.234874e-06,6.303247e-06,-5.51912,2.7889616,2.3841858e-07,2.788962,2.7889807,2.787156,0.001724692,2.7911794,2.7824998,-2.7301583,0.21607426,-2.3255754,-3.634549,-0.00147317,0.01152699,0.011865043,-0.018702244,-0.13391316,0.0101532275,-0.11639724,-0.14122763
66,6.900047e-06,6.847089e-06,-5.5002575,2.7892396,0.0,2.7892396,2.7892168,2.7880712,0.0023526677,2.7984185,2.783803,-2.711041,0.16079222,-2.3540342,-3.0878308,-0.000962239,0.002499005,0.0031946735,-0.0034347454,-0.12910321,0.0035834012,-0.12293701,-0.13177164
67,5.861169e-06,5.8647274e-06,-5.4922504,2.7895224,0.0,2.7895224,2.7895238,2.788279,0.0020774321,2.7921066,2.78309,-2.7027283,0.1938688,-2.224687,-3.1296139,0.0015365937,0.0037804013,0.007671315,-0.0026168465,-0.13064304,0.005518531,-0.122972265,-0.13801755
68,1.3463796e-05,1.3453364e-05,-5.5491486,2.7915113,2.3841858e-07,2.791511,2.7915092,2.7887757,0.0024456254,2.8029442,2.7855022,-2.7576394,0.2936746,-2.2026272,-4.5180416,0.00019175053,0.002910878,0.003373251,-0.004427777,-0.13515085,0.0046958127,-0.13158411,-0.14320569
69,1.073557e-05,1.0702594e-05,-5.536984,2.7860677,2.3841858e-07,2.7860675,2.7860742,2.7885404,0.0021492864,2.7964754,2.784847,-2.7509165,0.23012541,-2.3240013,-3.5900424,0.0026199443,0.0065664956,0.01113943,-0.005542666,-0.13714783,0.0055026617,-0.13119148,-0.14310938
70,5.384723e-06,5.399608e-06,-5.5044446,2.7903483,0.0,2.7903483,2.790353,2.7887897,0.0017193005,2.7941797,2.7855942,-2.7140965,0.21312477,-2.2684364,-3.175488,-0.0010847668,0.005205719,0.0051752324,-0.0064966576,-0.1332871,0.0031395538,-0.1291174,-0.13784662
71,4.3775754e-06,4.380692e-06,-5.506814,2.789923,0.0,2.789923,2.7899265,2.789489,0.0020467795,2.7971308,2.7846878,-2.7168906,0.1971809,-2.2218328,-3.4788647,0.0023924904,0.0017450367,0.0046617226,0.0005335305,-0.13418144,0.008436693,-0.1238201,-0.14622946
72,1.4727918e-05,1.4737592e-05,-5.482929,2.7874873,2.3841858e-07,2.7874875,2.7874856,2.7900229,0.0028810587,2.8001873,2.785101,-2.6954432,0.18814489,-2.2496054,-3.0929465,0.00024496298,0.008962256,0.01455572,-0.010077583,-0.13787118,0.008014538,-0.12848331,-0.15036723
73,4.362033e-06,4.352848e-06,-5.579822,2.7906287,2.3841858e-07,2.790629,2.7906222,2.7899375,0.001970827,2.7977943,2.7848682,-2.7891998,0.29567882,-2.3546388,-4.535676,-0.0023419468,0.0053574685,0.005909356,-0.008621283,-0.12966436,0.007060838,-0.120056696,-0.13942257
74,1.3215742e-05,1.3220468e-05,-5.5098248,2.791934,0.0,2.791934,2.7919352,2.7899523,0.0030475364,2.8052444,2.785578,-2.7178912,0.21245249,-2.229273,-3.3691578,-0.0064669717,0.0077823917,-3.5722227e-05,-0.019777728,-0.13037555,0.0037792197,-0.12412939,-0.13430043
75,5.342118e-06,5.344199e-06,-5.528831,2.79142,0.0,2.79142,2.7914207,2.7899654,0.0017961821,2.792811,2.783878,-2.737411,0.18357937,-2.3325424,-3.0568936,-0.012635036,0.0016472567,-0.01099867,-0.015006856,-0.13749126,0.0065713264,-0.1270748,-0.14314657
76,4.4814283e-06,4.469546e-06,-5.551552,2.7908747,2.3841858e-07,2.790875,2.790868,2.7900121,0.0019331601,2.7979198,2.7856743,-2.7606838,0.18381959,-2.4532077,-3.5382168,-0.00017016043,0.002863905,0.0024749313,-0.0043967124,-0.13968116,0.003078865,-0.13540038,-0.14331184
77,3.9446313e-06,3.952846e-06,-5.545533,2.7908804,0.0,2.7908804,2.7908852,2.7900214,0.0017907366,2.7935913,2.7858443,-2.754653,0.2271032,-2.237214,-3.5578477,0.0038029836,0.007976276,0.011883929,-0.007188935,-0.12825896,0.011018831,-0.115410596,-0.14300504
78,9.126432e-06,9.125496e-06,-5.524419,2.7883496,2.3841858e-07,2.7883499,2.78835,2.7903135,0.0022957858,2.8002648,2.7855577,-2.7360692,0.35465088,-2.318253,-5.2134523,0.0032731374,0.011034407,0.02181068,-0.007265159,-0.13526869,0.0042711985,-0.13141744,-0.14219128
79,3.8520175e-06,3.84939e-06,-5.5006795,2.7893927,0.0,2.7893927,2.7893977,2.7896576,0.0019446926,2.7937875,2.784651,-2.7112868,0.16060388,-2.342135,-3.0573788,0.0004140375,0.0062212744,0.007924885,-0.008649316,-0.13171704,0.0073914,-0.1191147,-0.13802785
80,3.3211013e-06,3.3150773e-06,-5.507865,2.7890677,2.3841858e-07,2.7890675,2.7890723,2.7897017,0.0017085397,2.794804,2.7852798,-2.7187972,0.2429367,-2.3452718,-3.8878748,-0.0015976878,0.006929706,0.0065304916,-0.0104790665,-0.13717856,0.004893507,-0.13043554,-0.14299835
81,7.54798e-06,7.5455046e-06,-5.500123,2.7882593,0.0,2.7882593,2.78826,2.789991,0.0021330377,2.7960112,2.7857602,-2.711864,0.2007458,-2.2276192,-3.5388834,0.0014903463,0.0042974534,0.007271756,-0.0047923625,-0.13274682,0.0047468413,-0.12753999,-0.14011729
82,6.5937443e-06,6.5963377e-06,-5.4746284,2.7908976,0.0,2.7908976,2.7909005,2.7904458,0.002527786,2.8027112,2.7863324,-2.6837308,0.21802706,-2.2749405,-3.3954968,0.0011052616,0.0060850754,0.0074763466,-0.008763377,-0.13880181,0.011042045,-0.127169,-0.15236245
83,1.0218648e-05,1.018086e-05,-5.588006,2.7925305,2.3841858e-07,2.7925308,2.7925231,2.7900505,0.002016623,2.79362,2.7855165,-2.7954829,0.40383893,-2.2722116,-5.4711123,-0.004344552,0.0066656815,0.0057518766,-0.010528578,-0.13794458,0.0031088039,-0.13471064,-0.14249101
84,9.923746e-06,1.0003912e-05,-5.5121183,2.7923293,2.3841858e-07,2.792329,2.7923453,2.7898648,0.001962443,2.7941678,2.7860837,-2.719789,0.174645,-2.3557606,-3.0687878,0.0026558,0.0009610232,0.0033259785,0.0010058124,-0.13151759,0.0033226945,-0.12736574,-0.13593987
