,0
354,7.103458470050612e-06
355,7.103458470050612e-06
356,7.103458470050612e-06
357,7.103458470050612e-06
358,7.103458470050612e-06
359,7.103458470050612e-06
360,7.103458470050612e-06
361,7.103458470050612e-06
362,7.103458470050612e-06
363,7.103458470050612e-06
364,7.103458470050612e-06
365,7.103458470050612e-06
366,7.103458470050612e-06
367,7.103458470050612e-06
368,7.103458470050612e-06
369,7.103458470050612e-06
370,7.103458470050612e-06
371,7.103458470050612e-06
372,7.103458470050612e-06
373,7.103458470050612e-06
374,7.103458470050612e-06
375,7.103458470050612e-06
376,7.103458470050612e-06
377,7.103458470050612e-06
378,7.103458470050612e-06
379,7.103458470050612e-06
380,7.103458470050612e-06
381,7.103458470050612e-06
382,7.103458470050612e-06
383,7.103458470050612e-06
384,7.103458470050612e-06
385,7.103458470050612e-06
386,7.103458470050612e-06
387,7.103458470050612e-06
388,7.103458470050612e-06
389,7.103458470050612e-06
390,7.103458470050612e-06
391,7.103458470050612e-06
392,7.103458470050612e-06
393,7.103458470050612e-06
394,7.103458470050612e-06
395,7.103458470050612e-06
396,7.103458470050612e-06
397,7.103458470050612e-06
398,7.103458470050612e-06
399,7.103458470050612e-06
